task,run_id,param_name,param_value,train_metric,test_metric,epochs,learning_rate,batch_size,hidden_layers,hidden_units
classification_divorce,1774394649_0,grid,"{'learning_rate': 0.01, 'epochs': 10, 'hidden_layer_sizes': [8, 4]}",0.899875,0.9,10,0.01,32,2,8-4
classification_divorce,1774394649_1,grid,"{'learning_rate': 0.01, 'epochs': 10, 'hidden_layer_sizes': [8, 4]}",0.899875,0.9,10,0.01,32,2,8-4
classification_divorce,1774394649_0,grid,"{'learning_rate': 0.1, 'epochs': 10, 'hidden_layer_sizes': [8, 4]}",0.899875,0.9,10,0.1,32,2,8-4
classification_divorce,1774394649_1,grid,"{'learning_rate': 0.1, 'epochs': 10, 'hidden_layer_sizes': [8, 4]}",0.899875,0.9,10,0.1,32,2,8-4
classification_divorce,1774395419_0,learning_rate,0.001,0.899875,0.9,100,0.001,32,2,16-8
classification_divorce,1774395419_0,learning_rate,0.01,0.899875,0.9,100,0.01,32,2,16-8
classification_divorce,1774395419_0,learning_rate,0.1,0.90025,0.9,100,0.1,32,2,16-8
classification_divorce,1774395419_0,learning_rate,0.5,0.90425,0.896,100,0.5,32,2,16-8
classification_divorce,1774396430_0,learning_rate,0.001,0.899875,0.9,100,0.001,32,2,16-8
classification_divorce,1774396430_0,learning_rate,0.01,0.899875,0.9,100,0.01,32,2,16-8
classification_divorce,1774396430_0,learning_rate,0.1,0.90025,0.9,100,0.1,32,2,16-8
classification_divorce,1774396430_0,learning_rate,0.5,0.90425,0.896,100,0.5,32,2,16-8
