task,run_id,param_name,param_value,train_metric,test_metric,epochs,learning_rate,batch_size,hidden_layers,hidden_units
regression_children,1774396958_0,learning_rate,0.001,2.8330847907252172,2.9454564360004483,100,0.001,32,2,16-8
regression_children,1774396958_1,learning_rate,0.001,2.81218202123358,2.93241569987443,100,0.001,32,2,16-8
regression_children,1774396958_2,learning_rate,0.001,2.8381942376904137,2.9345826654221736,100,0.001,32,2,16-8
regression_children,1774396958_0,learning_rate,0.01,2.642853465877468,3.0346358059563,100,0.01,32,2,16-8
regression_children,1774396958_1,learning_rate,0.01,2.610280641761341,3.069731729782167,100,0.01,32,2,16-8
regression_children,1774396958_2,learning_rate,0.01,2.6874674864285226,3.066762312434503,100,0.01,32,2,16-8
regression_children,1774396958_0,learning_rate,0.05,2.5721926963474724,3.14782202244312,100,0.05,32,2,16-8
regression_children,1774396958_1,learning_rate,0.05,2.5447283279596675,3.1431800859359518,100,0.05,32,2,16-8
regression_children,1774396958_2,learning_rate,0.05,2.5128162153929625,3.2069573283494046,100,0.05,32,2,16-8
regression_children,1774396958_0,learning_rate,0.1,2.522857898067203,3.1780729967727974,100,0.1,32,2,16-8
regression_children,1774396958_1,learning_rate,0.1,2.7794796278800513,3.0008312009450293,100,0.1,32,2,16-8
regression_children,1774396958_2,learning_rate,0.1,2.616384793409013,3.1141860279430293,100,0.1,32,2,16-8
regression_children,1774396968_0,epochs,10,2.8371827839405834,2.9313545128514145,10,0.01,32,2,16-8
regression_children,1774396968_1,epochs,10,2.8508402709956338,2.9399548817232013,10,0.01,32,2,16-8
regression_children,1774396968_2,epochs,10,2.8745460821825293,2.9432852331435297,10,0.01,32,2,16-8
regression_children,1774396968_0,epochs,50,2.7427933643184423,2.9762419396298645,50,0.01,32,2,16-8
regression_children,1774396968_1,epochs,50,2.71769942992497,3.0034888264656554,50,0.01,32,2,16-8
regression_children,1774396968_2,epochs,50,2.7723811695187153,2.950265719882553,50,0.01,32,2,16-8
regression_children,1774396968_0,epochs,100,2.642853465877468,3.0346358059563,100,0.01,32,2,16-8
regression_children,1774396968_1,epochs,100,2.610280641761341,3.069731729782167,100,0.01,32,2,16-8
regression_children,1774396968_2,epochs,100,2.6874674864285226,3.066762312434503,100,0.01,32,2,16-8
regression_children,1774396968_0,epochs,200,2.553242588580827,3.2201787318930273,200,0.01,32,2,16-8
regression_children,1774396968_1,epochs,200,2.5476964309605363,3.2329672664991795,200,0.01,32,2,16-8
regression_children,1774396968_2,epochs,200,2.5864629822880825,3.1296693114570715,200,0.01,32,2,16-8
regression_children,1774396978_0,batch_size,16,2.594993114655814,3.1327857796007885,100,0.01,16,2,16-8
regression_children,1774396978_1,batch_size,16,2.6055818023274058,3.0858008536977257,100,0.01,16,2,16-8
regression_children,1774396978_2,batch_size,16,2.569038041243573,3.1839121616414157,100,0.01,16,2,16-8
regression_children,1774396978_0,batch_size,32,2.642853465877468,3.0346358059563,100,0.01,32,2,16-8
regression_children,1774396978_1,batch_size,32,2.610280641761341,3.069731729782167,100,0.01,32,2,16-8
regression_children,1774396978_2,batch_size,32,2.6874674864285226,3.066762312434503,100,0.01,32,2,16-8
regression_children,1774396978_0,batch_size,64,2.719976668339933,3.013323974724528,100,0.01,64,2,16-8
regression_children,1774396978_1,batch_size,64,2.710198345356211,3.0097928686032187,100,0.01,64,2,16-8
regression_children,1774396978_2,batch_size,64,2.7617659368219227,3.0071461418347445,100,0.01,64,2,16-8
regression_children,1774396978_0,batch_size,128,2.781894216012828,2.9715043327464787,100,0.01,128,2,16-8
regression_children,1774396978_1,batch_size,128,2.7615605202987528,2.9656342646147413,100,0.01,128,2,16-8
regression_children,1774396978_2,batch_size,128,2.806179122057679,2.958369413869692,100,0.01,128,2,16-8
regression_children,1774396988_0,hidden_layer_sizes,[8],2.8014071678649306,2.966311064996804,100,0.01,32,1,8
regression_children,1774396988_1,hidden_layer_sizes,[8],2.7963099099260145,2.9599724085878836,100,0.01,32,1,8
regression_children,1774396988_2,hidden_layer_sizes,[8],2.764138438089406,3.0083332827617717,100,0.01,32,1,8
regression_children,1774396988_0,hidden_layer_sizes,"[16, 8]",2.642853465877468,3.0346358059563,100,0.01,32,2,16-8
regression_children,1774396988_1,hidden_layer_sizes,"[16, 8]",2.610280641761341,3.069731729782167,100,0.01,32,2,16-8
regression_children,1774396988_2,hidden_layer_sizes,"[16, 8]",2.6874674864285226,3.066762312434503,100,0.01,32,2,16-8
regression_children,1774396988_0,hidden_layer_sizes,"[32, 16]",2.355562188580123,3.3402353585926274,100,0.01,32,2,32-16
regression_children,1774396988_1,hidden_layer_sizes,"[32, 16]",2.387711757621671,3.308032280871106,100,0.01,32,2,32-16
regression_children,1774396988_2,hidden_layer_sizes,"[32, 16]",2.4228864383967395,3.2386134530507618,100,0.01,32,2,32-16
regression_children,1774396988_0,hidden_layer_sizes,"[32, 16, 8]",2.3019604890258205,3.4258110337197696,100,0.01,32,3,32-16-8
regression_children,1774396988_1,hidden_layer_sizes,"[32, 16, 8]",2.265797506776536,3.4449966901323443,100,0.01,32,3,32-16-8
regression_children,1774396988_2,hidden_layer_sizes,"[32, 16, 8]",2.2832883082715956,3.3383157979658216,100,0.01,32,3,32-16-8
