experiment_id,task_name,problem_type,owner,method_name,model_key,tuned_param,param_value,repeat,random_seed,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
classification_divorce_decision_tree_max_depth,classification_divorce,classification,person2,decision_tree,decision_tree_classification,max_depth,3,1,42,0.899875,0.5,0.0,0.0,0.0,0.9,0.5,0.0,0.0,0.0
classification_divorce_decision_tree_max_depth,classification_divorce,classification,person2,decision_tree,decision_tree_classification,max_depth,3,2,43,0.899875,0.5,0.0,0.0,0.0,0.9,0.5,0.0,0.0,0.0
classification_divorce_decision_tree_max_depth,classification_divorce,classification,person2,decision_tree,decision_tree_classification,max_depth,3,3,44,0.899875,0.5,0.0,0.0,0.0,0.9,0.5,0.0,0.0,0.0
classification_divorce_decision_tree_max_depth,classification_divorce,classification,person2,decision_tree,decision_tree_classification,max_depth,5,1,42,0.9005,0.5031210986267166,1.0,0.006242197253433208,0.01240694789081886,0.9,0.5,0.0,0.0,0.0
classification_divorce_decision_tree_max_depth,classification_divorce,classification,person2,decision_tree,decision_tree_classification,max_depth,5,2,43,0.9005,0.5031210986267166,1.0,0.006242197253433208,0.01240694789081886,0.9,0.5,0.0,0.0,0.0
classification_divorce_decision_tree_max_depth,classification_divorce,classification,person2,decision_tree,decision_tree_classification,max_depth,5,3,44,0.9005,0.5031210986267166,1.0,0.006242197253433208,0.01240694789081886,0.9,0.5,0.0,0.0,0.0
classification_divorce_decision_tree_max_depth,classification_divorce,classification,person2,decision_tree,decision_tree_classification,max_depth,10,1,42,0.91875,0.6042429599477941,0.9037433155080213,0.21098626716604243,0.34210526315789475,0.8735,0.5008333333333334,0.1044776119402985,0.035,0.052434456928838954
classification_divorce_decision_tree_max_depth,classification_divorce,classification,person2,decision_tree,decision_tree_classification,max_depth,10,2,43,0.918375,0.6023703007717641,0.9021739130434783,0.20724094881398253,0.33705583756345175,0.8725,0.5025,0.11267605633802817,0.04,0.05904059040590406
classification_divorce_decision_tree_max_depth,classification_divorce,classification,person2,decision_tree,decision_tree_classification,max_depth,10,3,44,0.918375,0.6029250664062615,0.8978494623655914,0.20848938826466917,0.3383991894630192,0.8715,0.49972222222222223,0.09859154929577464,0.035,0.05166051660516605
classification_divorce_decision_tree_max_depth,classification_divorce,classification,person2,decision_tree,decision_tree_classification,max_depth,20,1,42,0.99225,0.9668460333736878,0.9868247694334651,0.9350811485642946,0.9602564102564103,0.7905,0.49472222222222223,0.09293680297397769,0.125,0.10660980810234541
classification_divorce_decision_tree_max_depth,classification_divorce,classification,person2,decision_tree,decision_tree_classification,max_depth,20,2,43,0.99225,0.9668460333736878,0.9868247694334651,0.9350811485642946,0.9602564102564103,0.7835,0.48194444444444445,0.07636363636363637,0.105,0.08842105263157894
classification_divorce_decision_tree_max_depth,classification_divorce,classification,person2,decision_tree,decision_tree_classification,max_depth,20,3,44,0.99225,0.9668460333736878,0.9868247694334651,0.9350811485642946,0.9602564102564103,0.7865,0.48583333333333334,0.08118081180811808,0.11,0.09341825902335456
